green,seed,delay,completion,wait
10,42,349.7109616593344,0.736574074074074,36.98953573216618
10,43,170.39265965632168,0.9025462962962963,5.281657084994928
10,44,289.3347305572568,0.7560185185185185,29.87443755587649
10,45,347.79262869326817,0.7599537037037037,31.351743633993877
10,46,335.91797736916516,0.6546296296296297,44.44668684987257
20,42,378.8600098846786,0.7025462962962963,36.58811408899681
20,43,412.9615677419359,0.7175925925925926,35.771964679691045
20,44,407.4761168270824,0.6974537037037037,33.3945920857813
20,45,405.9449093567244,0.7916666666666666,30.469173711707796
20,46,318.3401050030882,0.749537037037037,31.904747713094615
30,42,361.8834094572801,0.861574074074074,26.289110463909854
30,43,223.1085759999997,0.8680555555555556,22.741410865288696
30,44,227.81399344923193,0.91875,18.66237421029354
30,45,67.3460521905673,0.9668981481481481,6.271860630140588
30,46,406.8810865504368,0.7435185185185185,38.90113303137104
45,42,75.25585841560329,0.9613425925925926,10.798842351840674
45,43,158.42334142198533,0.9539351851851852,18.02183989438312
45,44,76.65807468477196,0.9546296296296296,11.745341405990146
45,45,81.64826476282677,0.9564814814814815,11.216452274349983
45,46,132.56364076494813,0.95625,16.021200651484264
60,42,88.7643709248974,0.9585648148148148,14.095730769076201
60,43,126.33585550339059,0.8875,21.220785252479928
60,44,80.17004143309747,0.9497685185185185,13.329681040384596
60,45,86.4102416042525,0.9581018518518518,13.738739798103438
60,46,77.19407015857783,0.9634259259259259,12.461875904894804
75,42,96.51445578231306,0.9527777777777777,16.437224792030168
75,43,91.99023629719863,0.9502314814814815,16.522489016761746
75,44,87.03924386092861,0.9520833333333333,15.258716953006896
75,45,98.47899389499398,0.9479166666666666,16.455009722610697
75,46,82.64395043731778,0.9527777777777777,15.14813481043427
90,42,95.61955982490281,0.9518518518518518,18.63076326722229
90,43,88.66880865548262,0.9520833333333333,17.44934898613158
90,44,101.09341926070046,0.9518518518518518,18.47348788505316
90,45,134.71032534678426,0.9178240740740741,23.960290302921365
90,46,96.79891674780912,0.950925925925926,18.274675940437493
120,42,117.62495553359679,0.937037037037037,24.863976643038068
120,43,101.93681616559888,0.9393518518518519,23.61802995168131
120,44,108.92970978849007,0.9412037037037037,23.86197155014591
120,45,110.39194664031629,0.937037037037037,25.801999907236826
120,46,114.92390141193984,0.9344907407407408,24.274278780568736
